작품명,방송일자,시청률,방영연도,월,일,회차,연속방송
고스트 닥터,2022-01-10,5.628,2022,1,10,3,1
고스트 닥터,2022-01-11,5.711,2022,1,11,4,1
고스트 닥터,2022-01-17,5.514,2022,1,17,5,1
고스트 닥터,2022-01-18,5.462,2022,1,18,6,1
고스트 닥터,2022-01-24,6.202,2022,1,24,7,1
고스트 닥터,2022-01-25,6.591,2022,1,25,8,1
고스트 닥터,2022-01-31,4.024,2022,1,31,9,1
고스트 닥터,2022-02-01,4.747,2022,2,1,10,1
고스트 닥터,2022-02-07,4.914,2022,2,7,11,1
고스트 닥터,2022-02-08,5.709,2022,2,8,12,1
고스트 닥터,2022-02-14,4.717,2022,2,14,13,1
고스트 닥터,2022-02-15,6.282,2022,2,15,14,1
고스트 닥터,2022-02-21,5.309,2022,2,21,15,1
고스트 닥터,2022-02-22,7.953,2022,2,22,16,1
공작도시,2021-12-08,3.576,2021,12,8,1,1
공작도시,2021-12-09,2.628,2021,12,9,2,1
공작도시,2021-12-15,3.895,2021,12,15,3,1
공작도시,2021-12-16,3.119,2021,12,16,4,1
공작도시,2021-12-22,4.072,2021,12,22,5,1
공작도시,2021-12-23,3.166,2021,12,23,6,1
공작도시,2021-12-29,3.561,2021,12,29,7,1
공작도시,2021-12-30,2.977,2021,12,30,8,1
공작도시,2022-01-05,3.414,2022,1,5,9,1
공작도시,2022-01-06,3.221,2022,1,6,10,1
공작도시,2022-01-12,3.929,2022,1,12,11,1
공작도시,2022-01-13,3.438,2022,1,13,12,1
공작도시,2022-01-19,3.867,2022,1,19,13,1
공작도시,2022-01-20,4.217,2022,1,20,14,1
공작도시,2022-01-26,3.784,2022,1,26,15,1
공작도시,2022-01-27,3.907,2022,1,27,16,1
공작도시,2022-02-02,3.105,2022,2,2,17,1
공작도시,2022-02-03,4.526,2022,2,3,18,1
공작도시,2022-02-09,4.104,2022,2,9,19,1
공작도시,2022-02-10,4.695,2022,2,10,20,1
구경이,2021-10-30,2.64,2021,10,30,1,1
구경이,2021-10-31,2.642,2021,10,31,2,1
구경이,2021-11-06,1.996,2021,11,6,3,1
구경이,2021-11-07,2.747,2021,11,7,4,1
구경이,2021-11-13,1.809,2021,11,13,5,1
구경이,2021-11-14,2.548,2021,11,14,6,1
구경이,2021-11-20,1.8,2021,11,20,7,1
구경이,2021-11-21,2.185,2021,11,21,8,1
구경이,2021-12-04,1.699,2021,12,4,9,1
구경이,2021-12-05,1.808,2021,12,5,10,1
구경이,2021-12-11,1.515,2021,12,11,11,1
구경이,2021-12-12,2.312,2021,12,12,12,1
구미호뎐,2020-10-07,5.804,2020,10,7,1,1
구미호뎐,2020-10-08,5.557,2020,10,8,2,1
구미호뎐,2020-10-14,5.558,2020,10,14,3,1
구미호뎐,2020-10-15,5.511,2020,10,15,4,1
구미호뎐,2020-10-21,5.1,2020,10,21,5,1
구미호뎐,2020-10-22,4.962,2020,10,22,6,1
구미호뎐,2020-10-28,4.789,2020,10,28,7,1
구미호뎐,2020-10-29,5.137,2020,10,29,8,1
구미호뎐,2020-11-04,5.115,2020,11,4,9,1
구미호뎐,2020-11-05,4.474,2020,11,5,10,1
구미호뎐,2020-11-11,4.863,2020,11,11,11,1
구미호뎐,2020-11-12,5.318,2020,11,12,12,1
구미호뎐,2020-11-25,5.195,2020,11,25,13,1
구미호뎐,2020-11-26,5.16,2020,11,26,14,1
구미호뎐,2020-12-02,5.224,2020,12,2,15,1
구미호뎐,2020-12-03,5.785,2020,12,3,16,1
구미호뎐 1938,2023-05-06,6.463,2023,5,6,1,1
구미호뎐 1938,2023-05-07,7.129,2023,5,7,2,1
구미호뎐 1938,2023-05-13,5.233,2023,5,13,3,1
구미호뎐 1938,2023-05-14,6.682,2023,5,14,4,1
구미호뎐 1938,2023-05-20,5.533,2023,5,20,5,1
구미호뎐 1938,2023-05-21,6.86,2023,5,21,6,1
구미호뎐 1938,2023-05-27,5.324,2023,5,27,7,1
구미호뎐 1938,2023-05-28,6.736,2023,5,28,8,1
구미호뎐 1938,2023-06-03,4.988,2023,6,3,9,1
구미호뎐 1938,2023-06-04,6.625,2023,6,4,10,1
구미호뎐 1938,2023-06-10,4.728,2023,6,10,11,1
구미호뎐 1938,2023-06-11,8.024,2023,6,11,12,1
구해줘 2,2019-05-08,1.419,2019,5,8,1,1
